"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\e-booi-an-ebook-platform\frontend\hooks\use-auth.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\e-booi-an-ebook-platform\frontend\hooks\use-debounce.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"f:\e-booi-an-ebook-platform\frontend\lib\query-client.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"f:\e-booi-an-ebook-platform\frontend\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\e-booi-an-ebook-platform\frontend\middleware.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 1, 5, 19
"f:\e-booi-an-ebook-platform\frontend\next.config.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"f:\e-booi-an-ebook-platform\frontend\package-lock.json", "JSON", 10619, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10620
"f:\e-booi-an-ebook-platform\frontend\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"f:\e-booi-an-ebook-platform\frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"f:\e-booi-an-ebook-platform\frontend\providers\auth-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 26, 111
"f:\e-booi-an-ebook-platform\frontend\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"f:\e-booi-an-ebook-platform\frontend\providers\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"f:\e-booi-an-ebook-platform\frontend\public\file.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\public\globe.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\public\next.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\public\vercel.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\public\window.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\services\api\api.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
